,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
Hypusine,1811904,2792416,3255992,2675961,3248760,2420764,3890470,4093431,3198329,3772247,3406422,3249023,3851964,3792983,4140488,2858515,2803410,2609274
Glycerol alpha-monochlorohydrin.23,15294447,14939166,15755971,14228209,13665960,14182812,15125927,14610472,15136032,16206010,15971447,16587464,16445887,19659956,20486824,15844926,15327653,15847601
5-(4-carboxybutylperoxy)pentanoic acid,521363,1070132,1301224,1455926,1416017,997719,1102766,1730681,857382,1240796,1510961,999497,1047548,1759876,1627455,735767,731551,873079
(S)-Pterosin P,1365190,1590578,1462715,1399626,1552693,1556174,1607283,1433443,1689080,1694774,1544194,1549898,1426236,1517170,1460875,1605515,1544832,1629615
4-Coumaroylputrescine,1495536,5151619,6105808,102932,1272742,186378,749088,1855580,1164129,69170,657465,320258,5537228,3250586,595250,4127678,4614213,5029229
4-Coumaroylputrescine.1,164991,66424,115416,286404,249300,147148,102458,270328,189284,126361,228304,130618,338508,259282,159174,140923,132882,163014
benzoylagmatine,339342,396571,878966,5376,465563,10862,367082,750507,534914,15840,572319,34890,116525,845114,46070,65483,641105,703310
benzoylagmatine.1,339342,0,878966,444947,72609,722595,367082,263730,534914,647817,89762,435745,585436,295601,362762,642039,641105,703310
4-Methylphenyl octanoate,79091,36312,69180,122077,96203,105898,1117376,484853,116689,1325632,620068,482939,2294784,1707177,2494377,112385,78192,110616
Octyl benzoate,7721396,8533533,8095847,7921281,8408603,8500083,9192776,8742754,8668504,10167112,9868379,9173595,9893394,11223961,11077422,9207012,8376916,8552374
"5-Methyl-2,5-di-1-pyrrolidinyl-2-cyclopenten-1-one",523178,879879,930714,271072,1678335,122197,352816,384276,182562,139162,433818,306794,188263,188679,217333,1527903,1605070,1777603
"5-Methyl-2,5-di-1-pyrrolidinyl-2-cyclopenten-1-one.1",523178,879879,930714,701955,1678335,320440,352816,384276,182562,569936,433818,306794,188263,188679,217333,1527903,1605070,1777603
"4-Ethyl-7,11-dimethyldodeca-trans-2-trans-6-1-o-trien-1-al",1041240,388624,808630,147439,238764,251390,181677,212751,287858,176218,223546,237231,167555,132576,158237,659545,728884,784491
"2,6-Di-tert-butyl-4-ethylphenol",403836,94486,213058,98732,70564,83482,91583,109358,107271,109848,97062,126786,141142,111477,53566,192304,189560,207354
"Benzamide, 4-bromo-2,6-difluoro-",3888388,4542934,4644909,4528001,5166702,6209444,4717745,4793924,4284504,4842690,4437102,4398968,4042200,4372306,4124166,4177927,6283936,5168456
(2R)-2-acetamido-3-(1-carboxyethylsulfanyl)propanoic acid.1,50842,72904,40504,195902,125545,170069,433237,388226,254703,441167,604067,588211,274367,365649,349964,290303,308662,309580
Homocysteine thiolactone.1,35062,0,57106,143290,13489,171411,835165,63537,188523,1189469,38786,554858,2666111,327491,1580660,973888,1006831,1131386
Homocysteine thiolactone.2,35062,70677,12429,0,125677,18389,835165,595534,188523,27543,531093,23950,288231,3241938,92461,80849,1006831,1131386
PubChem_161215385.1,0,0,0,0,0,0,109177,197183,110527,80050,65556,63979,517485,168040,335748,104291,106646,100913
[(E)-ethylideneamino]thiourea,51962,6252,0,100361,124781,141133,133207,175276,125108,177570,222659,206331,380312,362619,330468,170258,233787,152006
Glycerol alpha-monochlorohydrin.24,10830370,9727462,9232550,11351012,10641574,11280897,11050997,9684111,9559315,10965091,10323802,10403975,12373066,12240105,12262385,11280724,10352276,10268247
2-(3-amino-3-carboxypropyl)sulfanylpentanoic acid,77432,133456,148433,85185,167166,169953,177468,225191,130434,228423,258837,244319,2201476,549409,647575,191633,222430,175715
methyl 2-[benzyl(methyl)amino]-3-methylbutanoate,2611126,3752502,5039289,4174648,3323159,2920211,2697820,2786492,2933798,3184644,2444274,2619927,4525690,4947714,4139358,3494756,3718768,4144578
UNPD68026,51232,59759,37384,60326,49221,22461,141930,153834,73859,311340,148057,196626,559475,446731,110567,128528,185012,180051
N-[3-(trimethoxysilyl)propyl]butylamine,1688716,1777185,1897768,1702641,1574556,1818080,1708671,1591719,1709309,1742374,1809638,1726230,2242342,2070018,2011048,1908110,1807379,1986002
N-[3-(trimethoxysilyl)propyl]butylamine.1,1203741,385978,1212218,1853650,1695725,2061262,1830888,2303245,2344804,2724806,2505014,2532962,2960866,2824297,2782066,1691719,1554049,1909758
Procainamide.1,12662265,4496525,14852521,9804001,13166023,10453839,2507791,15146461,8221128,11715892,5652210,10038262,7129139,11444582,8548042,8177967,8045056,9086630
PubChem_76973630,12662265,15226951,14852521,1566903,13166023,809716,9227303,15146461,8221128,1259709,12185221,10038262,7129139,11444582,8548042,8177967,8045056,9086630
Procainamide.2,8017911,1559194,9056956,5752520,1774986,6599379,5667620,10539631,5009228,8205398,1527057,6779536,4127795,8001862,4642512,4218048,4487650,4704136
2-[4-(2-methoxyphenyl)piperazin-1-yl]ethanamine,1803256,1501427,2160543,1084776,1078105,1363364,982798,2206288,1082306,1601786,1056831,1506128,1137499,1349904,1098592,1346720,1436052,1585963
Glycerol alpha-monochlorohydrin.25,4514344,4288707,4604220,4415800,4310934,4946161,4356128,4406396,4331382,4564302,4747462,5093467,4971300,5895510,5349460,4645097,4242926,4842882
Procainamide.3,138640,147128,162912,150646,154828,135426,112345,146752,156492,143445,156366,154697,178017,176866,179050,241462,275097,269002
Procainamide.4,197465,919773,840158,28957,713365,14150,505566,1077931,490660,11948,771386,57373,39141,792671,35882,25880,439570,141696
Procainamide.5,735636,1358708,1747334,1387227,1198947,1184191,1096451,1323044,1267542,909896,1278299,899810,713031,784552,1055170,881415,1076605,1195454
PubChem_106323040,462976,475921,380492,596554,693996,569879,810048,764890,742164,1177319,1055651,903484,1517821,1907814,2053649,821432,838021,918746
2-Chloro-3-nitro-5-bromopyridine,8346059,10159612,10722940,8609943,8674503,7132256,11115708,10380346,8078979,10795277,9962737,9628655,9514490,9257389,10178976,7782715,8157147,9039883
