,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
"25-acetoxy-ergosta-3beta,5alpha,6beta-triol",259594,337494,805982,1065151,630122,689517,426353,433470,497165,398108,442782,496437,218777,316444,276121,824518,1020704,909470
UNPD222281,174370,248407,200701,257943,131001,193781,508102,886749,799189,680945,1321298,1496801,295953,267904,291128,231430,470044,257373
UNPD193538,117594,143808,112779,75675,67268,112021,202994,220829,246730,344567,378786,341832,656633,587072,185276,158812,136246,212994
"2,3,4,5-tetrachlorobenzenethiol",599001,595770,482997,23491,919005,288278,0,0,153613,382219,194471,106734,0,117823,191393,275850,185507,251895
3-(furan-2-carbonyl)-1-phenylthiourea,86481,76087,60563,45501,24555,38230,238606,200303,146846,189850,205538,203902,125012,132965,241914,215049,235504,257569
"N-[(4S,7R,8S)-8-methoxy-4,7,10-trimethyl-11-oxo-5-(2-phenylethyl)-2-oxa-5,10-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]cyclopropanecarboxamide",1890139,2718654,2386955,2652865,2039298,1885093,2129578,2202055,1917038,1887526,2184659,2242360,2064433,1786135,1919148,2136910,2396058,2673845
LysoPC(16:1(9Z)),178426,177260,152889,283573,209357,201908,468476,347629,210507,565371,251131,315739,251344,184575,413613,203444,223367,236407
LysoPC(16:1(9Z)).1,0,0,0,39721,46338,16223,295457,358657,122096,378163,265923,299777,400058,315523,245822,61175,37902,37315
LysoPC(16:1(9Z)).2,166067,124594,193233,176735,118055,133247,197227,207382,137828,292909,170866,180041,182752,167111,148625,161939,134595,181538
PubChem_170763,503721,416779,579673,815826,1420010,530929,669857,749597,974692,1485796,630599,337443,731558,618229,232388,2616046,2183724,2423892
"2-[8-(4-chlorophenyl)-2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxo-4H-furo[2,3-h]chromen-9-yl]acetic acid",1684752,491285,2228547,1931061,564520,1707229,2037552,883635,1754926,1457869,456532,1619583,902521,165723,1248590,1127800,1035925,1331142
Arborside B,443707,380910,434068,304332,361209,309243,339733,472523,377058,315205,355226,314951,324069,292763,382354,423751,463961,489020
UNPD101364,1613790,1567505,1822555,1404018,1928602,1335331,2145443,2504540,1766318,1796622,2064952,2157596,2051256,1985549,2363685,1564328,1569929,1743837
"7H-imidazo[4,5-e]tetrazine",5357490,4740826,4575358,5218494,5486383,5271183,5523237,5288174,5322393,6066170,6047018,6240534,6625700,7728748,6918734,5927463,6192840,6284498
28-Homobrassinolide,445459,311067,328183,236703,356215,429078,1481664,2428116,1270895,1508580,2437492,2956326,694577,517923,543535,461792,704582,506076
28-Homobrassinolide.1,120621,185822,148156,0,240848,218191,138054,127344,164031,418424,289008,506101,304911,329954,185713,213174,211922,234614
"3-{[6'-(2-hydroxyethyl)-1',1',7',7'a-tetramethyl-2'-methylidene-1',1'a,2',5',6',7',7'a,7'b-octahydrospiro[cyclopentane-1,4'-cyclopropa[a]naphthalen]-3-yl]methyl}-1-(methylamino)-4-(1H-pyrrol-3-yl)butan-2-ol",269953,4316143,6715911,1545696,2624039,4100301,320946,1585946,1017634,3363262,4562907,5061891,405010,576030,452729,4983019,5295268,4270852
"4-methyl-15-{[2-(methylamino)ethyl]amino}-18-pentylheptacyclo[12.7.1.1?,?.0?,??.0?,?.0??,??.0??,??]tricosa-7,12-diene-2,10-diol",112007,3279477,5700972,521458,3001208,935015,162120,427370,278744,1253811,1817340,1792465,103520,124656,90038,1892348,2124584,1902217
UNPD225150,390348,591735,460528,437084,490771,368709,380151,256605,255370,89087,83072,63213,30877,0,62078,552539,536619,509364
"N-benzyl-2-(7-{[(3-fluorophenyl)carbamoyl]amino}-1-hydroxy-4a,8-dimethyl-decahydronaphthalen-2-yl)propanamide",281361,322018,238498,253962,175865,102182,166800,139989,100194,214823,186683,154591,227747,138447,237274,537710,575575,589767
Acidiphilamide C,320505,482826,379978,52605,102296,84956,0,0,50799,0,0,0,33589,0,0,100766,128762,140853
LysoPC(16:0),60317688,65126820,73555048,74698064,57057668,54951092,67229104,122843216,74208896,115528472,75189240,80771992,108017536,89084488,74232816,50615316,55338556,54600404
"7H-imidazo[4,5-e]tetrazine.1",4246112,3835557,3881181,4130392,4114285,4200274,4467994,4638643,4337256,4981720,4776414,5066128,5024225,5653064,5002990,4553900,4265979,4641506
LysoPC(16:0).1,1224919,989054,1036065,1064958,864486,935011,1320998,1623400,774540,1672903,1079093,1019714,2395870,2403804,1771182,768727,792204,817913
PE(O-20:0/0:0),39682,550062,219584,39083,98854,1386535,20791,19957,159104,258185,224185,157637,52081,40668,50010,80876,101113,78179
PubChem_11113782,1932726,2361751,1895384,1648930,1578603,2370230,3771231,1358388,3652815,1666858,1776192,1556076,2078948,2036758,1540558,1748358,1882603,1788082
"[2-(5,7-dihydroxy-4-oxo-2-phenyl-4H-chromen-6-yl)-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxidanesulfonic acid",1890111,1000377,2811584,2635378,1059578,2788930,1549700,1137930,2888205,3093912,463495,3055982,2348238,128513,2867165,3236200,1220434,2153310
"[2-(5,7-dihydroxy-4-oxo-2-phenyl-4H-chromen-6-yl)-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxidanesulfonic acid.1",3186784,2812969,2497414,736761,2965618,307291,2398569,2729069,2735470,336328,3319462,1085267,564844,1342506,528196,639262,3316008,3282939
"[2-(5,7-dihydroxy-4-oxo-2-phenyl-4H-chromen-6-yl)-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxidanesulfonic acid.2",102980,253211,224319,326927,471176,166906,1329302,1191662,598150,183252,1068843,272126,226143,1013210,111712,63120,128085,59183
"[2-(5,7-dihydroxy-4-oxo-2-phenyl-4H-chromen-6-yl)-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxidanesulfonic acid.3",66188,176647,224319,755878,192995,446942,1329302,257878,598150,1206776,239933,1064844,1282930,161940,1488400,385124,406983,442254
ethyl 3-[5-(methoxycarbonyl)furan-2-yl]-7-{[5-(methoxycarbonyl)furan-2-yl]methoxy}-4-oxo-4H-chromene-2-carboxylate,0,0,0,665044,704311,574855,1993585,1385574,739566,1380818,1579920,1521844,330555,360404,866428,173003,93097,145116
bis(hydroxymethyl)nitramine,4449126,4082356,4110167,4458290,4556712,4466953,4636415,4868149,4656058,5471109,5313900,5278706,5601288,6200478,6561570,4912806,4969808,5594060
"methyl 3-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4-oxo-4H-chromen-8-yl]-3-[1-(propan-2-yl)-1H-pyrazol-4-yl]propanoate",0,0,0,36254,0,26828,848591,50751,47005,520243,227254,160439,1384520,97822,673365,371819,377232,403832
"methyl 3-[2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4-oxo-4H-chromen-8-yl]-3-[1-(propan-2-yl)-1H-pyrazol-4-yl]propanoate.1",0,0,0,6112,0,0,848591,441711,47005,28133,227254,7170,1384520,778032,673365,26629,377232,403832
"(7R*,8R*)-3-Methoxy-3',4,7,9,9'-pentahydroxy-8,4'-oxyneolignan 4-xyloside",0,23211,313371,47457,31298,246513,17686,0,308149,111428,120309,322553,163845,12198,323865,108007,143300,145061
"(3b,16b,20R)-Pregn-5-ene-3,16,20-triol 3-glucoside",575485,740369,729052,336608,497607,384961,520713,367442,341784,249005,216830,202591,236900,340059,289184,924518,942098,1023824
PubChem_134778844,169153,293471,186351,82642,231433,139338,94121,0,120288,21230,0,83737,0,0,5777,188781,195299,254435
bis(hydroxymethyl)nitramine.1,6632036,6027971,5650486,5856220,6335498,6294557,6189028,6351172,6579648,7696794,7264888,7568460,7135786,8541530,8532248,6848542,6686612,7302575
"5-hydroxy-2-(4-hydroxyphenyl)-10-(6-methoxy-2-oxo-1,2-dihydroquinolin-3-yl)-4H,8H,9H,10H-pyrano[2,3-h]chromene-4,8-dione",955076,815040,1294669,10198,1060452,9979,955062,1449437,958961,8702,1081670,66920,112522,1380145,132146,25643,749260,1038690
4-O-demethyl-11-deoxydaunorubicin,0,0,0,80215,0,0,24317,0,21370,0,0,0,21431,0,0,237195,201683,281404
"N-(3-acetyl-4-hydroxyphenyl)-3-(4-hydroxy-6-methyl-2-oxo-2H-pyran-3-yl)-3-(2,3,4-trimethoxyphenyl)propanamide",0,26356,24473,50838,14417,105365,60071,110740,52397,149903,41425,0,48013,47093,0,201909,267174,267644
UNPD31333,0,0,0,16050,0,41507,431515,388686,77650,555389,205533,134455,826168,889501,471612,82798,112398,110932
[1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-yl] hexadecanoate,0,1137044,222358,17828,56964,16856418,0,53660,342337,721905,57359,21444,61222,11246,21451,76094,84516,67404
"2-(5-amino-1-{9-[(6-aminopyridin-3-yl)methyl]-2-(2-methylpropyl)spiro[4.5]decan-7-yl}-3,3-dimethyl-2-oxabicyclo[2.2.2]octan-5-yl)ethan-1-ol",4025758,4651364,4466396,4288243,4061614,3977017,4709400,4898198,4305256,4695650,4422626,4461380,4211366,4258579,5066707,4634858,4846284,4678424
bis(hydroxymethyl)nitramine.2,5849993,5199760,5474842,5533250,5802170,5756591,6156880,6120994,6183776,6819233,6862604,6899838,7040610,7618169,7573718,6008815,6183942,6651382
"3,4-Dicaffeoyl-1,5-quinolactone",0,0,0,1918826,1513827,1434078,4471552,3489220,1834158,3228917,2973318,2811091,3490544,2146340,3674805,776094,889826,919705
"3,4-Dicaffeoyl-1,5-quinolactone.1",0,0,0,1373523,1000616,1214042,7676724,5614728,1848151,6483922,6042932,5814780,2774886,3066324,6880197,705047,760124,732591
"4-{7,11-dihydroxy-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-1-yl}-N-(6-methoxypyridin-3-yl)pentanamide",49970,569553,261423,509226,131062,348917,47732,355784,129050,856353,200462,515546,98281,205431,112798,424824,365265,405607
"1-[4',8'a-dimethyl-6'-(prop-1-en-2-yl)-6',7',8',8'a-tetrahydro-5'H-spiro[cyclopentane-1,1'-naphthalen]-3-yl]-2-(2-phenylethyl)spiro[4.4]nonan-1-ol",97825,1969604,2467269,561974,1072443,2069846,31145,675091,303782,1312991,1401354,1921489,77848,427444,100772,2434750,2259237,2171836
Scorodocarpine A;Behemic acid 5-hydroxytryptamide,322080,1377790,3288869,366966,1215327,5030015,27443,2253510,657962,10464911,1280885,1484500,279527,1462100,218298,2934263,3203673,3348991
Scorodocarpine A;Behemic acid 5-hydroxytryptamide.1,1210370,3854447,3288869,366966,1215327,5030015,27443,2253510,657962,10464911,1280885,1484500,279527,1462100,218298,2934263,3203673,3348991
"bicyclo[4.1.0]hepta-1,3,5-triene.7",927081,1175871,1244244,859928,1034676,979988,1127596,1361514,921394,811026,1052743,990524,1035627,1272644,1051585,863730,1010237,942389
bis(hydroxymethyl)nitramine.3,6653528,5646716,6222722,6429595,6217912,6314398,6549234,6516668,6797103,7325524,7482517,7420046,7513565,8235976,8329724,6790347,6407362,7161388
Alendronic acid,2992845,2406597,2620276,3001979,2770399,2750127,2793630,2899629,2736530,2759638,2778632,2668903,1975029,2821548,2961093,2529175,2279343,2349962
Alendronic acid.1,1583786,1889164,2080400,2284169,2232507,1496674,1986146,2025464,1876098,1718710,1909849,2097803,1543846,1488253,1908289,1801493,1768184,1672686
"2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-10-(2-oxo-1,2-dihydroquinolin-3-yl)-4H,8H,9H,10H-pyrano[2,3-h]chromene-4,8-dione",0,39724,40831,241544,207184,297564,1224610,1194301,308865,1362217,1479548,1253670,2861635,6497340,2689836,351123,319668,378674
"LysoPE(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",2659596,2547544,2097247,2943988,2206822,2016731,4151075,2199354,1747273,2550910,1115957,1191030,2313940,1348508,3046693,1467096,1403962,1572177
"LysoPE(20:5(5Z,8Z,11Z,14Z,17Z)/0:0).1",1352880,1426194,1367611,1203093,1032277,933050,821058,916784,719969,849007,415564,388315,988860,850035,954552,852312,865073,912530
"[1,1'-Biphenyl]-4-carbonitrile, 4'-[(2S)-2-methylbutyl]-",46166,215000,298850,222955,277470,246526,571396,548268,319470,352241,342674,398743,46242,61863,185209,199165,208799,212927
octyl 3-aminobenzoate,1179523,1462161,1501862,1313343,1306228,1162586,1664250,1500129,1277180,1583894,1425821,1417532,1525470,1375653,1501750,1416292,1478036,1422991
"7H-imidazo[4,5-e]tetrazine.2",3620967,3185151,3167203,3469493,3669503,3763346,3932858,4129750,3750584,4793972,4417829,4298309,4369018,4770522,4704814,3942996,3686992,4060728
PubChem_101111727,1065473,848884,767710,1006086,1008644,992733,1015082,1011257,975892,959359,941805,839672,862291,740402,795511,992302,986347,1016847
Artonol C,158325,372961,172700,110844,119275,89751,77850,150038,83516,95533,69119,37479,51368,115628,0,106222,101831,103915
UNPD83500,570400,836676,1008996,89909,293386,1221138,301634,1479140,13826,2350391,265153,544446,66163,1460449,28433,735609,844712,770627
UNPD165122,0,245665,0,0,0,393025,0,627562,77936,1267252,25888,25043,43014,1385127,71677,154321,150835,131126
UNPD218778,49574,155689,159856,0,85713,165438,68973,13178,69398,81342,54442,154742,156322,196426,43327,123648,269642,227947
bis(hydroxymethyl)nitramine.4,3695012,3415737,3460668,3788240,3556494,3664708,4080430,4162260,3828176,4275400,4397600,4177797,4477772,4580024,4674742,4002230,4056989,4078147
"5,7',9',13'-tetramethyl-5'-oxaspiro[oxane-2,6'-pentacyclo[10.8.0.0?,?.0?,?.0??,??]icosan]-16'-yl 3-methylbutanoate",21360,36479,245129,1000759,496447,938702,2172654,2635844,1997579,2965601,3742022,3398104,726546,675842,1474051,137888,159133,186492
1-bromotriacontane,453703,1346071,907107,72015,423427,3364307,0,3667525,245019,1861307,195323,326837,0,2330369,0,663918,701613,575694
PubChem_54221841,4597739,5889884,3538258,486999,7002729,2235165,0,124841,1373008,2002368,1519748,795034,97353,1152369,1695556,1872194,1932478,2294142
ethyl 3-oxo-3-(phenylformohydrazido)propanoate,100534,108371,100687,384114,333719,272116,1111952,1009026,391718,1009753,858792,869071,632686,962254,1242824,230858,199869,236703
"17,17,20-trichloro-6,10,23-trimethyl-4-azahexacyclo[12.11.0.0?,??.0?,?.0??,??.0??,??]pentacosan-10-ol",338081,561960,600177,399072,476775,366006,235861,580903,295992,468423,446745,328462,261036,323891,246145,298182,297315,353810
bis(hydroxymethyl)nitramine.5,5768698,5411355,5146000,5533250,5693303,5756591,6395368,6079845,5993172,6584196,6891449,6711618,6616788,7618169,7476302,6121150,6075693,6626670
"3-(2-methoxy-2-oxoethyl)-4,8-dimethyl-2-oxo-2H-chromen-7-yl 4-({[(tert-butoxy)carbonyl]amino}methyl)cyclohexane-1-carboxylate",609424,1276825,1868232,460937,1311193,493984,684117,1481373,773054,570762,1126935,831866,455970,634469,624402,662008,1186287,861500
UNPD70074,802144,351316,1868232,967112,376231,923753,684117,429293,773054,991220,354116,1362355,845131,258240,1081134,1040794,1186287,1294696
UNPD62314,721301,1034782,1184400,33714,1021128,21591,615916,1487500,605564,58136,944460,83513,33867,617217,60670,33804,112966,105083
UNPD70074.1,421518,1276825,779684,146988,1311193,177913,485725,1481373,450431,211558,1126935,299341,261605,634469,261523,284451,514197,434688
"N-[2-(3,4-dihydroxyphenyl)-2-oxoethyl]-7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]-N-methylheptanamide",828421,1004375,919669,887552,926967,1056932,928727,1012334,768408,1026097,983548,1260901,920742,832797,1029025,1795183,1865530,2196965
PubChem_143864339,293003,444174,436953,371790,383437,395297,652552,410006,257876,327508,386074,505683,247227,299956,296031,365894,385508,467231
PubChem_102485842,1058523,836763,789052,784739,457459,774538,2443529,4530992,2719014,4419782,8771039,10693904,2932086,2117887,1276498,1208296,3021090,1331084
"7H-imidazo[4,5-e]tetrazine.3",3993045,3896312,3442692,4131557,3952746,3763669,4493794,4426190,4113917,5030172,4475628,4863174,5041098,5792442,6065246,4631422,4540432,5046590
UNPD116283,529101,278444,506358,293475,561565,531736,583413,551052,557699,473226,499586,562520,585045,526355,510352,551552,585973,578048
UNPD116283.1,529101,556526,506358,46170,50280,531736,583413,551052,82017,120308,134298,562520,141108,240083,510352,551552,585973,142795
Isoglobotriaose,994745,801529,745586,438336,598378,494917,339903,497260,367861,342854,516047,444512,168681,180188,238820,554321,537627,589776
Limonexic acid,1058187,1147575,880584,566274,833332,655084,586279,820895,641797,680302,680539,601088,466872,585407,492470,535794,568253,602333
UNPD227102,20463,103379,91533,205759,170845,136089,263158,263903,63152,458714,287510,237445,289274,293958,311611,243754,214519,264333
bis(hydroxymethyl)nitramine.6,5909008,5212738,5345690,5915309,5735375,5826094,6097448,5937828,6066977,6629162,6733523,6753778,7288538,7775320,7922832,6252912,6408876,6511184
UNPD152405,484101,582437,654242,635317,593986,478343,713514,704616,648644,754555,620486,538532,599500,648745,822137,639911,653791,733628
Ganoderiol I,985109,2713146,3348068,417802,414478,311383,201183,50049,110579,7440,89747,78535,77303,104733,147292,652744,703235,686992
UNPD139219,766557,926695,851546,507762,667172,496346,599422,336406,363026,255552,283035,240129,342517,296170,380939,1165910,1261013,1346416
Ganoderiol I.1,258107,569010,973303,222946,202717,201311,82434,111542,74160,72328,151526,150040,38281,39877,56443,355259,359142,341635
N-(2-fluorophenyl)-2-[[3-(4-methoxyphenoxy)-4-oxo-2-(trifluoromethyl)-1-benzopyran-7-yl]oxy]acetamide,576845,132926,504084,385567,245762,336195,326246,79977,379405,407300,279778,245868,408824,120063,312185,776946,760759,806591
bis(hydroxymethyl)nitramine.7,5857480,5191606,5368974,5550332,5839518,6043642,6199778,6174074,6187564,6944520,6712385,6976844,7033928,7920754,7619910,6210636,6465586,6421531
beta-D-Galactopyranosyl-(1->4)-2-amino-2-deoxy-beta-D-glucopyranosyl-(1->6)-D-mannose,7611900,7373000,8318562,4299838,7314680,9006322,5528481,5843864,7411336,4461458,5864025,5143790,3096138,3045579,2862975,2302775,2783697,2552656
"(2S)-2-[[(2S)-4-carboxy-2-[[3-carboxy-2-[[(2S)-2,6-diaminohexanoyl]amino]propanoyl]amino]butanoyl]amino]-4-methylpentanoic acid",968004,1009935,656504,837119,505324,650121,1255424,1149867,954669,1059141,1603602,1303632,101219,0,215696,1403215,1296270,1464684
2-[(1-{1-[(tert-butoxy)carbonyl]-4-phenylpiperidine-4-carbonyl}pyrrolidin-2-yl)formamido]-3-hydroxybutanoic acid,716549,1060371,765632,644314,468735,507211,1156243,1082269,804294,1033565,1362275,1156081,213161,235285,360081,1153836,1233325,1365881
"N-(5-{[1-carbamoyl-2-(1H-indol-3-yl)ethyl]carbamoyl}-2,3,5-trihydroxycyclohexyl)-4-methyl-2-(methylamino)pentanamide",158761,157025,207741,186244,120788,66784,76868,131662,87557,39776,45050,53393,17844,19836,25938,212234,266437,223520
"7H-imidazo[4,5-e]tetrazine.4",4428698,3879748,3929911,4150014,4301838,4342302,4656164,4552608,4566540,5483324,5107550,5415752,5557209,6195884,6197546,4713327,5081658,5101462
UNPD43932,0,0,0,764290,560519,799028,1482031,1317267,969053,723992,706560,692115,515102,449780,694501,210955,185984,240538
UNPD214462,254793,292702,292012,328890,765911,440066,401939,352601,438258,315499,188023,154070,124282,198667,278108,338317,469577,457600
"4,8,8,12-tetramethyl-17-(2-methylpropyl)-13,15,18-triazaheptacyclo[11.8.6.0?,??.0?,??.0?,?.0??,??.0??,??]heptacosa-22,24,26-triene-16,19-dione",839606,880507,876440,843117,1040141,872523,855982,693951,831070,756723,675584,620472,545029,483950,643573,744200,765101,720650
UNPD214462.1,304219,387139,288140,262735,768937,362410,403951,469827,486828,261049,226411,138804,225721,334964,350846,337496,610606,529497
Tetracosatetraenoyl carnitine,91916,50444,264740,260858,257848,1063306,37770,142613,90714,145002,473954,1307781,0,21666,39334,614643,618591,547886
PubChem_141379718,3429184,3786406,3994489,1899126,3841330,3644422,4311070,4269848,3936815,4388679,4077925,3860560,3646640,3372561,3669604,3172158,3253863,3749172
PubChem_141379718.1,1373231,1335539,1561803,505255,828410,1405966,1794588,1776033,838614,1858453,1892383,1564312,1439851,1215488,1371762,1544700,1538954,1806448
bis(hydroxymethyl)nitramine.8,2544120,2221225,2329951,2463473,2581072,2553429,2750723,2565364,2588950,2900007,2770605,3015028,3033808,3149942,3153999,2687458,2703392,2803202
PubChem_139418177,0,43697,47041,969450,784279,1053665,1534705,1116747,1024333,1538092,1363437,1269659,1475214,1347116,1689129,283632,265488,339711
PubChem_131701133,286191,262172,322989,245447,302591,126415,205287,208343,159478,166184,196045,246654,99844,129971,263288,332287,302528,407053
Desglucocoroloside,504274,616890,476636,32611,136109,246526,75574,68669,173055,104869,65623,138881,356359,161464,54972,136585,130581,132556
"(3beta,19alpha)-3,19,23,24-Tetrahydroxy-12-oleanen-28-oic acid",233433,143413,121544,120763,68434,87494,660712,1258786,429608,711864,1292299,1772620,914211,787675,394130,178763,271103,160503
Myrianthic acid,146293,124815,128667,130501,75330,108633,287896,277226,170271,482103,472336,511121,1515074,1127388,626465,158272,203216,158499
UNPD214415,623557,552686,653580,989332,619926,1036678,894002,1693696,1709406,1349029,2144373,1724926,367595,386775,467044,264086,256510,294489
Ganoderiol G.1,209510,59523,126271,131800,134718,148920,263106,353745,247605,293209,398648,390347,211358,177094,224465,176864,102680,190548
"7H-imidazo[4,5-e]tetrazine.5",5131734,4715006,4576530,5058989,4384762,5323901,5441730,5326280,5305452,6117630,5916754,6140709,6184339,7228212,7066004,5854266,5718858,6021814
Ganoderiol G.2,1404552,735537,656692,1303660,741245,1481729,2147995,3673174,3279303,3663058,5529794,4468206,817398,853479,1243363,290564,647205,448137
Ganoderiol G.3,67852,30767,88865,140046,74133,130415,224566,140573,125913,189022,221749,271398,498426,439591,304399,218510,274137,262231
Ganoderiol G.4,597808,201367,196848,360291,152127,469358,850340,2613090,1851678,2425871,5703095,5533558,484116,380237,377969,153070,240039,174118
Ganoderiol G.5,593981,385355,345776,372603,212387,396320,1099752,1323856,1116877,1466714,2646344,2636925,694283,623285,816808,701973,1804497,934864
C00050888,0,156286,336561,731519,392171,1245807,841799,816748,638101,749509,788454,386975,1327015,1359394,776614,279658,277913,309852
"bicyclo[4.1.0]hepta-1,3,5-triene.8",576206,658741,682583,577934,614355,527338,589434,604402,577881,559233,701971,596834,632946,636128,603528,524991,536519,582323
bis(hydroxymethyl)nitramine.9,6348228,5574544,5848656,6007290,6042741,6253730,6704734,6502428,6297794,7856563,7677380,6545204,7955919,8445710,8892917,6379243,6799002,7673119
"4-cyano-N-[7-(1-{[(4-fluorophenyl)methyl]carbamoyl}ethyl)-8-hydroxy-1,4a-dimethyl-decahydronaphthalen-2-yl]benzamide",144908,3547,1171767,511359,4811,821215,415764,0,998448,820708,26026,1183537,1214161,37702,1151206,489903,512655,536962
"2-(3-{[5-(4-tert-butylphenyl)-1,2-oxazol-3-yl]methyl}piperidin-4-yl)-N-[(3,4-dimethoxyphenyl)methyl]acetamide",12435,15283,218340,39907,37915,241800,13661,17081,244446,0,30043,128235,20027,173170,103953,55044,59550,88114
PubChem_101425922,31720,0,76403,0,36120,2940010,0,534395,116132,126615,124772,338974,0,99668,0,120892,134935,121050
"Cer(d14:2(4E,6E)/18:1(9Z))",0,0,0,0,0,0,1193514,267326,28075,2611745,1838958,1624195,7632172,2629835,4613887,369450,475492,510979
"bis(2-ethylhexyl) 2-[(2,4,5-trimethoxyphenyl)methylidene]propanedioate",49382,59059,50049,59308,71058,24572,146326,74593,84994,63233,141794,125880,83189,28530,54637,33702,75112,95164
"7H-imidazo[4,5-e]tetrazine.6",6230966,5558746,5556108,5409572,5824902,5906344,6353502,6326368,6599174,6666184,6796618,6941149,7261269,7874831,8069900,6482802,6373284,6833278
"[(8R,9S,10R,13S,14S,17S)-13-methyl-3-oxo-2,6,7,8,9,10,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl] 2-hexoxy-3-phenylpropanoate",213800,249315,252632,117733,340377,131043,67556,85212,101278,65774,32450,0,0,71158,109810,180092,232819,224365
"({9a,11a-dimethyl-1-octyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-yl}sulfanyl)(phenyl)methanone",2369742,2197454,2282593,1756935,1329126,2329236,7612571,12777238,8227654,13079850,24726606,26250978,8004842,5658756,4058047,3294831,9307419,3965757
UNPD91732,2623838,1115275,1248786,411774,238402,1520920,10755997,19564210,2925335,4622210,6261170,22891520,2712284,2496272,4001326,1342419,1916120,545504
bis(hydroxymethyl)nitramine.10,5387100,5194544,5330172,4830188,5821784,4756098,5897008,6057216,5839126,6080089,6480481,5559233,6389281,7465515,6659431,4955256,5115653,5326857
UNPD91732.1,211726,285604,324845,1641263,1368062,703603,1241469,1914199,1726018,2692533,2766456,1596819,924713,1060092,735710,344226,793116,695719
UNPD91732.2,122626,74603,5569,64931,27865,54350,238542,250157,284053,300433,3966880,1253767,145407,98955,71500,181969,2006778,445275
UNPD91732.3,161930,157584,202873,375687,180543,288656,758048,965015,758937,609529,1050848,894531,477919,545109,366871,266244,382392,346446
UNPD91732.4,125039,75730,64698,117591,26111,90919,201156,359032,335566,269287,460681,456531,245345,236295,182469,100635,269131,182119
UNPD91732.5,481890,317113,404268,781734,419541,779390,1472280,1122480,880607,2064554,1939824,1420519,1613292,1565710,2067645,253957,414679,305512
UNPD91732.6,481890,317113,349629,953452,419541,779390,1196745,960708,880607,2064554,1939824,1172102,1613292,984808,1350318,253957,379885,298700
UNPD91732.7,926370,637415,706435,1641263,1368062,1269665,2607950,2105683,1726018,2692533,2766456,2237959,1768846,1713298,2067085,590124,793116,695719
UNPD91732.8,841695,545916,705776,2335476,554498,1616070,5195992,9206879,7654748,5717779,9762395,10348035,2174337,2435425,1567786,553911,755802,613800
UNPD91732.9,75941,19934,51290,77315,0,50199,124393,305982,217489,142356,453108,392253,136192,128406,102544,171306,270003,96014
"7H-imidazo[4,5-e]tetrazine.7",3432913,3313747,3220825,3590978,3282933,3424412,3724724,3787709,3671140,3885695,4048431,4211178,3959699,4507820,4351611,3721487,3644937,3762668
CNP0450834,206455,171386,212876,291377,210493,246579,671195,421350,319719,732938,704214,583610,747807,714517,919738,197696,308360,197216
UNPD91732.10,276461,157420,170377,313786,128954,229014,937207,1522939,1124070,845780,1421973,1546847,464335,525479,402545,189097,295523,194113
"3-{3-[(cyclohexylmethyl)amino]-6-hydroxy-1,1,6-trimethyl-octahydro-1H-inden-3a-yl}-N-[2-(1H-indol-3-yl)ethyl]propanamide",0,667590,1632652,30171,388978,476620,0,156773,30088,183039,180272,314323,0,0,0,1157847,1147342,1096260
"4,7-Didehydroneophysalin B",67898,125998,167289,23916,175106,30783,231967,263556,178775,169300,267490,316850,621599,555192,420683,226151,264614,278614
bis(hydroxymethyl)nitramine.11,4969770,4267239,4527257,6139038,4750778,5454771,5418124,5107031,5070770,6367532,5830252,6237410,6527328,6763538,6638406,5262472,5363472,5538344
"3alpha,7alpha,12alpha-trihydroxy-27-carboxymethyl-5beta-cholestan-26-oic acid",32395,0,21193,33010,60032,58400,311646,581774,412184,372697,776795,1562222,404517,250813,124158,49380,244635,203875
UNPD33752,111304,63579,78794,82063,73192,104569,728927,1032594,578619,958665,1326854,2530999,816464,560109,262452,182630,312482,242612
