Score,InChI,FragmenterScore_Values,MaximumTreeDepth,MonoisotopicMass,Identifier,MolecularFormula,InChIKey3,SMILES,FormulasOfExplPeaks,InChIKey2,InChIKey1,FragmenterScore,ExplPeaks,InChIKey,NoExplPeaks,NumberPeaksUsed
0.9738275405652319,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)9-6-21-11-5-10(17)14(19)15(20)12(11)13(9)18/h1-6,16-17,19-20H",1060.0;708.0;708.0;808.0,2,286.047738,77080,C15H10O6,N,O=c1c(-c2ccc(O)cc2)coc2cc(O)c(O)c(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,HDXSEWOOSVMREY,105.60520893750947,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,HDXSEWOOSVMREY-UHFFFAOYSA-N,4,10
0.9738275405652319,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)9-6-21-15-12(13(9)19)10(17)5-11(18)14(15)20/h1-6,16-18,20H",1060.0;708.0;708.0;808.0,2,286.047738,87100,C15H10O6,N,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)cc(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,ZKZCRGBCWBCSNJ,105.60520893750947,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,ZKZCRGBCWBCSNJ-UHFFFAOYSA-N,4,10
0.9738275405652319,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)9-6-21-15-11(18)5-10(17)14(20)12(15)13(9)19/h1-6,16-18,20H",1060.0;708.0;708.0;808.0,2,286.047738,309149,C15H10O6,N,O=c1c(-c2ccc(O)cc2)coc2c(O)cc(O)c(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,BNMUTGOMEWQLBJ,105.60520893750947,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,BNMUTGOMEWQLBJ-UHFFFAOYSA-N,4,10
0.9738275405652319,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)12-13(19)10-5-9(17)6-11(18)14(10)21-15(12)20/h1-6,16-18,20H",1060.0;708.0;708.0;808.0,2,286.047738,370410,C15H10O6,N,O=c1c(-c2ccc(O)cc2)c(O)oc2c(O)cc(O)cc12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,MWDZOUNAPSSOEL,105.60520893750947,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,MWDZOUNAPSSOEL-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",1072.0;708.0;708.0;808.0,2,286.047738,6756,C15H10O6,N,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,IYRMWMYZSQPJKC,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,IYRMWMYZSQPJKC-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-7-5-10(18)12-11(6-7)21-15(14(20)13(12)19)8-3-1-2-4-9(8)17/h1-6,16-18,20H",1072.0;708.0;708.0;808.0,2,286.047738,8653,C15H10O6,N,O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,WCNLFPKXBGWWDS,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,WCNLFPKXBGWWDS-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)12-6-10(18)13-9(17)5-11(19)14(20)15(13)21-12/h1-6,16-17,19-20H",1072.0;708.0;708.0;808.0,2,286.047738,10121,C15H10O6,N,O=c1cc(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,NXHQVROAKYDSNW,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,NXHQVROAKYDSNW-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)11-5-9(17)13-12(21-11)6-10(18)14(19)15(13)20/h1-6,16,18-20H",1072.0;708.0;708.0;808.0,2,286.047738,10617,C15H10O6,N,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,JVXZRQGOGOXCEC,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,JVXZRQGOGOXCEC-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)14-13(20)11(18)9-5-6-10(17)12(19)15(9)21-14/h1-6,16-17,19-20H",1072.0;708.0;708.0;808.0,2,286.047738,60944,C15H10O6,N,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)ccc12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,YXNPLJZTPMOXKR,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,YXNPLJZTPMOXKR-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-8-6-9-10(12(18)11(8)17)13(19)14(20)15(21-9)7-4-2-1-3-5-7/h1-6,16-18,20H",1072.0;708.0;708.0;808.0,2,286.047738,87281,C15H10O6,N,O=c1c(O)c(-c2ccccc2)oc2cc(O)c(O)c(O)c12,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,UHFFFAOYSA,SDILYIBSLKZODH,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,SDILYIBSLKZODH-UHFFFAOYSA-N,4,10
0.9733655824080911,"InChI=1S/C15H10O6/c16-8-5-11(19)14-12(6-8)21-13(15(14)20)4-7-1-2-9(17)10(18)3-7/h1-6,16-19H/b13-4+",1072.0;708.0;708.0;808.0,2,286.047738,102424,C15H10O6,N,O=C1/C(=C\c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,107.04930114746094:[C7H5O+H]+H+;135.0436248779297:[C8H6O2]+H+;153.01795959472656:[C7H4O4]+H+;154.0258026123047:[C7H4O4+H]+H+,YIXHJXPBSA,WBEFUVAYFSOUEA,105.55511260558923,107.04930114746094_190.2;135.0436248779297_339.6;153.01795959472656_999.0;154.0258026123047_77.6,WBEFUVAYFSOUEA-YIXHJXPBSA-N,4,10
