formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C21H20O8	[M + H]+	C21H20O8	27.791818431264137	27.791818431264137	0.0	12	0.8763907063622015	-2.4873894883242635	4.207031649144232	-0.0011270620175924664		401.12309	NaN	26_challenge_128_	N/A
1	C19H16O4	[M + H]+	C19H16O4	40.09349387819253	40.09349387819253	0.0	9	0.8590033789621409	-1.6573145359638828	2.4122911264659233	-0.0014625454492235616		309.11213	NaN	27_challenge_132_	N/A
1	C45H72O17	[M + H]+	C45H72O17	13.355438671640599	13.355438671640599	0.0	8	0.22876505676744316	0.35408952695969576	4.457464358417409	-5.105572319604052E-4		885.48423	NaN	28_challenge_135_	N/A
1	C30H26O12	[M + H]+	C30H26O12	104.4364211054459	104.4364211054459	0.0	32	0.6448645794189684	-3.9519205006626494	4.474565543340454	-7.806107604223265E-4		579.14970	NaN	29_challenge_137_	N/A
1	C42H72O14	[M + H]+	C42H72O14	133.15808692522722	133.15808692522722	0.0	27	0.5509089530347544	-0.3482910153851681	2.132659991427341	-5.640558716342115E-4		801.49948	NaN	30_challenge_138_	N/A
1	C45H36O18	[M + H]+	C45H36O18	63.536051220836534	63.536051220836534	0.0	27	0.6667826164109153	-2.3085713411198245	3.82286641243721	-5.225285636987591E-4		865.19744	NaN	31_challenge_14_	N/A
1	C19H28O3	[M + H]+	C19H28O3	14.206810308120296	14.206810308120296	0.0	5	0.028400407699198084	0.3831717735679109	2.8254009711573276	-0.0014812387740411044		305.21112	NaN	32_challenge_141_	N/A
1	C36H60O7	[M + H]+	C36H60O7	85.15109699103427	85.15109699103427	0.0	44	0.8806036873200648	-1.8269162488904516	3.300760965666489	-7.467126748491116E-4		605.44118	NaN	33_challenge_142_	N/A
1	C54H92O24	[M + H]+	C54H92O24	40.81924443795852	40.81924443795852	0.0	11	0.3221967229490645	-0.5676635496456598	1.394059220691232	-4.016417682924454E-4		1125.60513	NaN	34_challenge_143_	N/A
1	C18H16O6	[M + H]+	C18H16O6	20.68912444688171	20.68912444688171	0.0	5	0.668642385602598	-2.9839414847975227	2.9839414847975227	-0.0013737096567847534		329.10196	NaN	35_challenge_144_	N/A
1	C17H14O8	[M + H]+	C17H14O8	36.5223901461614	36.5223901461614	0.0	11	0.6875109296292421	-0.43131493341498356	2.2442959178910145	-0.0013025687732183908		347.07614	NaN	36_challenge_145_	N/A
1	C20H18O10	[M + H]+	C20H18O10	23.259919055782895	23.259919055782895	0.0	7	0.8175695486671771	17.328338218153274	17.328338218153274	-0.0010787248912994024		419.09727	NaN	37_challenge_146_	N/A
1	C21H22O5	[M + H]+	C21H22O5	24.84169910758805	24.84169910758805	0.0	5	0.8330663581616117	-2.687860361379156	3.392294800651517	-0.0012729424515146796		355.15400	NaN	38_challenge_148_	N/A
1	C10H9NaO4	[M + H]+	C10H9NaO4	1.1023720642346349	1.1023720642346349	0.0	3	0.09994553524007556	6.912094553812209	6.912094553812209	-0.002082914065224238		217.04713	NaN	39_challenge_15_	N/A
1	C10H10O4	[M + H]+	C10H10O4	41.64199335371443	41.64199335371443	0.0	10	0.473347399361688	-2.253294423897631	5.13687796939061	-0.002317638315601303		195.06518	NaN	40_challenge_150_	N/A
1	C17H14N2	[M + H]+	C17H14N2	5.604357483387757	5.604357483387757	0.0	2	0.5182509314653332	-2.3284597500304436	2.3284597500304436	-0.0018294152833914616		247.12297	NaN	41_challenge_152_	N/A
1	C10H8O4	[M + H]+	C10H8O4	31.72654328235346	31.72654328235346	0.0	8	0.8520342717652697	-3.6976471839202123	3.6976471839202123	-0.0023418370158238082		193.04953	NaN	42_challenge_153_	N/A
1	C18H17NO2	[M + H]+	C18H17NO2	69.82933791473924	69.82933791473924	0.0	14	0.8406695492186398	-2.4455490405045617	2.606485013353772	-0.001613841339090518		280.13320	NaN	43_challenge_154_	N/A
1	C16H12O5	[M + H]+	C16H12O5	24.284631170002488	24.284631170002488	0.0	7	0.6571699914679041	-0.4382231274656881	2.8186037737670793	-0.0015858609169921122		285.07575	NaN	44_challenge_156_	N/A
1	C18H19NO2	[M + H]+	C18H19NO2	55.91644450853661	55.91644450853661	0.0	15	0.8310054147171265	-3.419197511081023	3.644017618077789	-0.0016023119772449947		282.14885	NaN	45_challenge_158_	N/A
1	C25H24O12	[M + H]+	C25H24O12	28.571645830947695	28.571645830947695	0.0	5	0.8093010106812407	-2.017302010830847	2.261087654362676	-8.74223013469381E-4		517.13405	NaN	46_challenge_159_	N/A
1	C15H19NO	[M + H]+	C15H19NO	1.2024561001860667	1.2024561001860667	0.0	2	0.6242520594303553	-3.2996083241107144	3.2996083241107144	-0.0019642963569707706		230.15394	NaN	47_challenge_16_	N/A
1	C15H10O5	[M + H]+	C15H10O5	24.125933694204157	24.125933694204157	0.0	6	0.5543942381605526	-1.6413235524916732	2.731659904673174	-0.0016678607085892359		271.06010	NaN	48_challenge_160_	N/A
1	C8H7NO3	[M + H]+	C8H7NO3	10.732614039211512	10.732614039211512	0.0	4	0.2676348846023637	0.26856426407410905	3.525378674119458	-0.002722618936133695		166.04987	NaN	49_challenge_161_	N/A
1	C8H12N2	[M + H]+	C8H12N2	4.426357681054691	4.426357681054691	0.0	4	0.8679229978789496	13.70132474784734	15.240833808499696	-0.00329734788687253		137.10732	NaN	50_challenge_162_	N/A
1	C15H14O3	[M + H]+	C15H14O3	30.71152547291076	30.71152547291076	0.0	7	0.4666794107930318	-1.4979031605167898	3.3608690844258207	-0.0018596774892808744		243.10157	NaN	51_challenge_163_	N/A
1	C42H72O14	[M + H]+	C42H72O14	110.44625652741176	110.44625652741176	0.0	24	0.5375684422314564	1.6364759388817163	3.9230697073291183	-5.640557297915276E-4		801.49948	NaN	52_challenge_164_	N/A
1	C12H8O4	[M + H]+	C12H8O4	31.32813225753179	31.32813225753179	0.0	8	0.7501704985569104	-2.0572615409718744	2.8794609644481306	-0.0020828911100049677		217.04953	NaN	53_challenge_165_	N/A
1	C22H24O9	[M + H]+	C22H24O9	32.36393284448508	32.36393284448508	0.0	7	0.6267391293900211	-1.0843536039658648	2.147341896601554	-0.0010437292510058218		433.14931	NaN	54_challenge_166_	N/A
1	C12H12O5	[M + H]+	C12H12O5	44.382781531776246	44.382781531776246	0.0	15	0.731988730202907	-2.468167296850069	3.0155849605083027	-0.0019069454336624611		237.07575	NaN	55_challenge_167_	N/A
1	C12H9NO2	[M + H]+	C12H9NO2	6.671127249027057	6.671127249027057	0.0	2	0.7184656829227419	-1.9947455354184784	1.9947455354184784	-0.0022596550222801896		200.07060	NaN	56_challenge_168_	N/A
1	C25H28O5	[M + H]+	C25H28O5	26.594639119156152	26.594639119156152	0.0	6	0.7167967689883182	-2.080147672647343	2.8312013887404683	-0.001104813180859348		409.20095	NaN	57_challenge_17_	N/A
1	C39H50O20	[M + H]+	C39H50O20	35.54113167822919	35.54113167822919	0.0	8	0.5886084163861776	0.031779678191610226	3.4575348101401544	-5.386538811012175E-4		839.29682	NaN	58_challenge_170_	N/A
1	C36H28O16	[M + H]+	C36H28O16	66.72179875216455	66.72179875216455	0.0	28	0.7260927124344948	-2.0477969192324275	4.779955129647964	-6.304030133147874E-4		717.14501	NaN	59_challenge_174_	N/A
1	C19H18O10	[M + H]+	C19H18O10	80.00997916466603	80.00997916466603	0.0	16	0.8225416423090041	-3.9071792671123617	5.646080052383599	-0.0011105224482010315		407.09727	NaN	60_challenge_175_	N/A
1	C31H38O7	[M + H]+	C31H38O7	42.74827941879418	42.74827941879418	0.0	18	0.36036980972211496	-1.38557571620401	4.484855645138096	-8.639735540231609E-4		523.26903	NaN	61_challenge_176_	N/A
1	C23H26O11	[M + H]+	C23H26O11	32.3732568008294	32.3732568008294	0.0	11	0.8499069420708827	-1.5682070596671358	4.585184397519051	-9.435169420607158E-4		479.15479	NaN	62_challenge_178_	N/A
1	C26H28O14	[M + H]+	C26H28O14	94.82728232605183	94.82728232605183	0.0	32	0.6727297276886753	-0.8085307693064016	4.614758608732224	-7.999408509391683E-4		565.15518	NaN	63_challenge_179_	N/A
1	C30H46O7	[M + H]+	C30H46O7	49.13203187957828	49.13203187957828	0.0	13	0.37828865565173664	1.3155027382373317	5.735555690509232	-8.705239142460978E-4		519.33163	NaN	64_challenge_180_	N/A
1	C27H30O15	[M + H]+	C27H30O15	19.126027635834895	19.126027635834895	0.0	4	0.7937096783986574	-1.6215057218305136	1.6215057218305136	-7.596045404438491E-4		595.16575	NaN	65_challenge_181_	N/A
1	C37H38N2O6	[M + H]+	C37H38N2O6	10.166222845836225	10.166222845836225	0.0	7	0.3047363221919896	-4.496022090982092	4.496022090982092	-7.444511489690137E-4		607.28026	NaN	66_challenge_182_	N/A
1	C42H64O14	[M + H]+	C42H64O14	174.2221243055817	174.2221243055817	0.0	35	0.826630702133913	18.644954216522763	18.644954216522763	-5.697874470464393E-4		793.43688	NaN	67_challenge_184_	N/A
1	C38H44O8	[M + H]+	C38H44O8	27.41046950724455	27.41046950724455	0.0	11	0.45908012944298426	-6.595722914759776	7.6637961746554275	-7.183899201836798E-4		629.31089	NaN	68_challenge_185_	N/A
1	C31H38O11	[M + H]+	C31H38O11	117.91333859388428	117.91333859388428	0.0	26	0.5933665190241234	-1.2406371464636468	2.5434984456638277	-7.698450395877182E-4		587.24869	NaN	69_challenge_188_	N/A
1	C30H48O4	[M + H]+	C30H48O4	111.68119604637108	111.68119604637108	0.0	22	0.5152467599670973	7.915816366937111	8.59888405617822	-9.550620692983333E-4		473.36254	NaN	70_challenge_190_	N/A
